time,size
0.0,0.0
1.0,0.288
2.0,0.0
3.0,0.0
4.0,0.288
5.0,0.512
6.0,0.0
7.0,0.8
8.0,0.0
9.0,0.512
10.0,0.0
11.0,26.656
12.0,84.16
13.0,84.672
14.0,84.16
15.0,84.672
16.0,84.608
17.0,85.12
18.0,84.16
19.0,84.672
20.0,75.744
21.0,85.568
22.0,84.16
23.0,84.672
24.0,67.328
25.0,84.672
26.0,76.64
27.0,84.672
28.0,84.16
29.0,76.256
30.0,84.16
31.0,77.152
32.0,84.16
33.0,75.744
34.0,67.328
35.0,76.256
36.0,76.64
37.0,84.672
38.0,67.328
39.0,76.256
40.0,67.328
41.0,43.488
42.0,67.328
43.0,84.672
44.0,67.328
45.0,76.256
46.0,76.64
47.0,67.84
48.0,75.744
49.0,42.08
50.0,33.664
51.0,59.808
52.0,42.08
53.0,67.84
54.0,33.664
55.0,59.424
56.0,59.808
57.0,51.008
58.0,67.328
59.0,59.424
60.0,58.912
61.0,34.624
62.0,50.496
63.0,42.08
64.0,58.912
65.0,58.912
66.0,51.392
67.0,58.912
68.0,42.08
69.0,8.928
70.0,0.0
71.0,60.32
72.0,67.328
73.0,67.84
74.0,67.328
75.0,59.424
76.0,34.56
77.0,76.256
78.0,75.744
79.0,59.424
80.0,67.328
81.0,68.736
82.0,58.912
83.0,59.424
84.0,75.744
85.0,59.424
86.0,59.808
87.0,84.672
88.0,75.744
89.0,84.672
90.0,75.744
91.0,85.568
92.0,67.328
93.0,76.256
94.0,84.16
95.0,84.672
96.0,85.056
97.0,76.256
98.0,67.328
99.0,76.256
100.0,75.744
101.0,85.568
102.0,84.16
103.0,84.672
104.0,84.16
105.0,76.256
106.0,76.64
107.0,84.672
108.0,84.16
109.0,76.256
110.0,75.744
111.0,85.568
112.0,84.16
113.0,84.672
114.0,84.16
115.0,84.16
116.0,85.056
117.0,84.672
118.0,84.16
119.0,84.672
120.0,84.16
121.0,77.152
122.0,84.16
123.0,84.672
124.0,84.16
125.0,84.672
126.0,85.056
127.0,84.672
128.0,84.16
129.0,84.672
130.0,84.16
131.0,85.568
132.0,84.16
133.0,84.672
134.0,84.16
135.0,84.672
136.0,84.608
137.0,84.672
138.0,84.16
139.0,84.672
140.0,84.16
141.0,85.568
142.0,84.16
143.0,84.672
144.0,84.16
145.0,84.16
146.0,85.056
147.0,76.256
148.0,84.16
149.0,84.672
150.0,84.16
151.0,85.12
152.0,84.608
153.0,84.672
154.0,84.16
155.0,84.672
156.0,85.056
157.0,84.672
158.0,84.16
159.0,75.744
160.0,84.16
161.0,77.152
162.0,84.16
163.0,84.672
164.0,84.16
165.0,84.672
166.0,85.056
167.0,84.672
168.0,84.16
169.0,84.672
170.0,84.16
171.0,85.568
172.0,75.744
173.0,84.672
174.0,84.16
175.0,84.672
176.0,85.056
177.0,84.672
178.0,84.16
179.0,17.344
180.0,0.0
